,Name of the Author,# of publication,Affiliation
168,5, Alexy P.," Alexy, P., Institute of Natural and Synthetic Polymers, Faculty of Chemical and Food Technology, Slovak University of Technology in Bratislava, Radlinského 9, Bratislava, 812 37, Slovakia"
169,5, Al-Wadi M.H.," Al-Wadi, M.H., Environment & Life Sciences Research Centre, Kuwait Institute for Scientific Research, P.O. Box: 24885, Safat, 13109, Kuwait"
170,5, Adhikari B.," Adhikari, B., Materials Science Centre, Indian Institute of Technology Kharagpur, Kharagpur, India"
171,5, Adamus G.," Adamus, G., Centre of Polymer and Carbon Materials Polish Academy of Sciences, M. Curie-Skłodowskiej 34 Str., Zabrze, 41-819, Poland"
172,5, Abe H.," Abe, H., Bioplastic Research Team, RIKEN Center for Sustainable Resource Science, 2-1 Hirosawa, WakoSaitama, 351-0198"
173,4,Ueda H.,"Ueda, H., Institute for Agro-Environmental Sciences, National Agriculture and Food Research Organization (NARO), Japan"
174,4,Swain S.N.,"Swain, S.N., Biodegradable Polymer Research Lab., Department of Chemistry, Ravenshaw College, Cuttack 753 003 Orissa, India"
175,4,Siotto M.,"Siotto, M., NOVAMONT SpA, Via Fauser 8, 28100 Novara, Italy"
176,4,Schilling C.H.,"Schilling, C.H., Department of Mechanical Engineering, Saginaw Valley State University, 7400 Bay Road, University Center, MI 48710, United States"
177,4,Saha N.,"Saha, N., Polymer Centre, Faculty of Technology, Tomas Bata University in Zlin, CZ-76272 Zlin, Czech Republic"
178,4,Sagong H.-Y.,"Sagong, H.-Y., School of Life Sciences, BK21 FOUR KNU Creative BioResearch Group, Kyungpook National University, Daegu, 41566, South Korea, KNU Institute for Microorganisms, Kyungpook National University, Daegu, 41566, South Korea"
179,4,Prieto A.,"Prieto, A., Polymer Biotechnology Lab, Centro de Investigaciones Biologicas (CIB), C/Ramiro de Maeztu, 9, Madrid, 28040, Spain"
180,4,Mandal D.K.,"Mandal, D.K., Department of Chemical Engineering, Thapar University, Patiala, Punjab, 147004, India"
181,4,Lubczak R.,"Lubczak, R., Rzeszów University of Technology, Faculty of Chemistry, Al. Powstańców Warszawy 6, Rzeszów, 35-959, Poland"
182,4,Lu Y.,"Lu, Y., Centre d' Etudes et de Recherche en Matériaux et Emballage, Ecole Supérieure d'Ingénieurs en Emballage et Conditionnement, Esplanade Roland Garros-Pôle Henri-Farman, BP 1029, 51686 Reims Cedex 2, France"
183,4,Khandare S.D.,"Khandare, S.D., CSIR-Central Salt and Marine Chemicals Research Institute, G. B. Marg, Gujarat, Bhavnagar, 364 002, India, Academy of Scientific and Innovative Research (AcSIR), Csir, UP, Ghaziabad, 201 002, India"
184,4,Green D.S.,"Green, D.S., Applied Ecology Research Group, School of Life Sciences, Anglia Ruskin University, Cambridge, CB1 1PT, United Kingdom"
185,4,Delacuvellerie A.,"Delacuvellerie, A., Proteomics and Microbiology department, University of Mons, 20 place du parc, Mons, 7000, Belgium"
186,4,Cho J.Y.,"Cho, J.Y., Department of Biological Engineering, College of Engineering, Konkuk University, Seoul, South Korea"
187,4,Chen P.,"Chen, P., Department of Chemistry, Wuhan University, Wuhan 430072, China"
188,4, Zumstein M.T.," Zumstein, M.T., Institute of Biogeochemistry and Pollutant Dynamics, ETH Zurich, Zurich, 8092, Switzerland"
189,4, Zhou J.," Zhou, J., School of Civil and Environmental Engineering, University of Technology Sydney, 15 Broadway, Sydney, NSW  2007, Australia"
190,4, Zhao J.," Zhao, J., Shenzhen Key Laboratory of Bioenergy, BGI-Shenzhen, Shenzhen, Guangdong, 518083, China"
191,4, Zhang L.," Zhang, L., Beijing Laboratory of Biomedical Materials, Beijing University of Chemical Technology, Beijing, 100029, China, State Key Laboratory of Organic-Inorganic Composites, Beijing University of Chemical Technology, Beijing, 100029, China"
192,4, Yu J.," Yu, J., School of Science, Tianjin University, Tianjin 300072, China"
193,4, Yoshii F.," Yoshii, F., Takasaki Radiat. Chem. Res. Estab., Japan Atom. Ener. Research Institute, Watanuki-machi, Takasaki-shi, Gunma-ken 370-12, Japan"
194,4, Yarimizu T.," Yarimizu, T., Institute for Agro-environmental Sciences, National Agriculture and Food Research Organization (NARO), Tsukuba, Japan"
195,4, Yang X.," Yang, X., State Key Laboratory of Soil Erosion and Dryland Arming on the Loess Plateau, and College of Natural Resources and Environment, Northwest A&F University, Yangling, 712100, China, Key Laboratory of Water Use Efficiency in Dryland Area, Institute of Dryland Farming, Gansu Agriculture Academy of Sciences, Lanzhou, China, Soil Physics and Land Management, Wageningen University & Research, Wageningen, 6700AA, Netherlands"
196,4, Yamano N.," Yamano, N., Biomedical Research Institute, National Institute of Advanced Industrial Science and Technology (AIST), 1-8-31 Midorigaoka, Ikeda, Osaka  563-8577, Japan"
197,4, Xia W.," Xia, W., State Key Laboratory of Food Science and Technology, Jiangnan University, 1800 Lihu Avenue, Wuxi, 214122, China, School of Biotechnology and Key Laboratory of Industrial Biotechnology Ministry of Education, Jiangnan University, 1800 Lihu Avenue, Wuxi, 214122, China, International Joint Laboratory on Food Safety, Jiangnan University, 1800 Lihu Avenue, Wuxi, 214122, China"
198,4, Xia M.," Xia, M., Department of Biology, School of Life Science, Beijing Institute of Technology, Beijing, 100081, China"
199,4, Wintermantel E.," Wintermantel, E., Department of Fur Biokompatible Werkstoffe und Bauweisen, Eidgenssische Technische Hochshule Zurich, Wagistrasse 6, CH-8952 Schlieren, Switzerland"
200,4, Weber M.," Weber, M., HYDRA Marine Sciences GmbH, Bühl, Germany"
201,4, Wattiez R.," Wattiez, R., Proteomics and Microbiology department, University of Mons, 20 place du parc, Mons, 7000, Belgium"
202,4, Wani S.J.," Wani, S.J., Department of Microbiology, PSGVP Mandal’s, Arts, Science and Commerce College, Shahada, Maharashtra, 425 409, India"
203,4, Wang Q.," Wang, Q., College of Natural Resources and Environment, Northwest A&F University, Yangling712100, China"
204,4, Vicari A.," Vicari, A., Department of Agricultural and Food Sciences, Alma Mater Studiorum - University of Bologna, Bologna, 40127, Italy"
205,4, Venkateswar Reddy M.," Venkateswar Reddy, M., Institut für Molekulare Mikrobiologie und Biotechnologie, Westfälische Wilhelms Universität, Corrensstr. 3, Münster, 48149, Germany"
206,4, Törmälä P.," Törmälä, P., Institute of Biomaterials, Tampere Univ. Technol., P.O. B., Tampere, Finland"
207,4, Tomasik P.," Tomasik, P., Department of Chemistry, University of Agriculture, Cracow, Poland"
208,4, Thakur V.K.," Thakur, V.K., Biorefining and Advanced Materials Research Center, SRUC, UK, Edinburgh, United Kingdom, School of Engineering, University of Petroleum & Energy Studies (UPES), Dehradun, 248007, India"
209,4, Tanrattanakul V.," Tanrattanakul, V., Department of Materials Science and Technology, Faculty of Science, Prince of Songkla University, Songkhla, 90110, Thailand"
210,4, Swain S.K.," Swain, S.K., Department of Chemistry, Veer Surendra Sai University of Technology, Burla, Sambalpur, Odisha  768018, India"
211,4, Sun Y.," Sun, Y., State Key Laboratory of Pollution Control and Resource Reuse, College of Environmental Science and Engineering, Tongji University, Shanghai, 200092, China"
212,4, Sugano W.," Sugano, W., Dept. of Environmental Engineering, Graduate School of Engineering, Osaka University, 2-1, Yamada-oka, Suita, Osaka 565-0871, Japan"
213,4, Singh R.S.," Singh, R.S., Department of Chemical Engineering & Technology, IIT (BHU), Uttar Pradesh, Varanasi, 221005, India"
214,4, Seo H.," Seo, H., School of Life Sciences, BK21 FOUR KNU Creative BioResearch Group, Kyungpook National University, Daegu, 41566, South Korea, Pohang Accelerator Laboratory, Pohang University of Science and Technology, Pohang, South Korea"
215,4, Seggiani M.," Seggiani, M., Department of Civil and Industrial Engineering, University of Pisa, Largo Lucio Lazzarino 2, Pisa, 56126, Italy"
216,4, Sander M.," Sander, M., Institute of Biogeochemistry and Pollutant Dynamics, ETH Zurich, Zurich, 8092, Switzerland"
217,4, Saha P.," Saha, P., Polymer Centre, Faculty of Technology, Tomas Bata University in Zlin, CZ-76272 Zlin, Czech Republic"
218,4, Saccà M.L.," Saccà, M.L., Department of Agro-Environmental Science and Technology, University of Bologna, Bologna 40127, Italy"
219,4, Ruffieux K.," Ruffieux, K., Degradable Solutions AG, Schlieren CH-8952, Switzerland"
220,4, Rubino M.," Rubino, M., School of Packaging, Michigan State University, East Lansing, MI  48824-1223, United States"
221,4, Rocha-Santos T.," Rocha-Santos, T., Centre for Environmental and Marine Studies (CESAM) & Department of Chemistry, University of Aveiro, Aveiro, 3810-193, Portugal"
222,4, Ren X.," Ren, X., College of Natural Resources and Environment, Northwest A&F University, Yangling712100, China"
223,4, Ren N.," Ren, N., State Key Laboratory of Urban Water Resource and Environment, School of Environment, Harbin Institute of Technology, Harbin, 150090, China"
224,4, Rajulu A.V.," Rajulu, A.V., Centre for Composite Materials, International Research Centre, Anand Nagar, Krishnankoil, 626 126, India"
225,4, Puglisi E.," Puglisi, E., Dipartimento di Scienze e Tecnologie Alimentari per la sostenibilità della filiera agro-alimentare, Facoltà di Scienze Agrarie Alimentari ed Ambientali, Università Cattolica del Sacro Cuore, Via Emilia Parmense 84, 29122 Piacenza, Italy"
226,4, Pichaiyut S.," Pichaiyut, S., Department of Rubber Technology, Faculty of Science and Industrial Technology, Prince of Songkla University, Surat Thani Campus, Surat Thani, 84000, Thailand"
227,4, Park S.-H.," Park, S.-H., Department of Biological and Chemical Engineering, Hongik University, Sejong City, South Korea"
228,4, Park K.," Park, K., Department of Biological and Chemical Engineering, Hongik University, Sejong City, South Korea"
229,4, Park J.," Park, J., Research Center for Bio-Based Chemistry, Korea Research Institute of Chemical Technology (KRICT), Ulsan, 44429, South Korea, Advanced Materials and Chemical Engineering, University of Science and Technology (UST), Daejeon, 34113, South Korea"
230,4, Pandey A.," Pandey, A., Centre for Innovation and Translational Research, CSIR - Indian Institute for Toxicology Research (CSIR-IITR), 31 MG Marg, Lucknow, 226 001, India"
231,4, Panayiotou C.," Panayiotou, C., Department of Chemical Engineering, Aristotle University of Thessaloniki, Thessaloniki 54124, Greece"
232,4, Nakason C.," Nakason, C., Department of Rubber Technology, Faculty of Science and Industrial Technology, Prince of Songkla University, Surat Thani Campus, Surat Thani, 84000, Thailand"
233,4, Mutjé P.," Mutjé, P., LEPAMAP Research Group, University of Girona, C/ Maria Aurèlia Capmany, Girona, 61 – 17003, Spain"
234,4, Muniyasamy S.," Muniyasamy, S., Nanostructured and Advanced Materials, Chemicals Cluster, Council for Scientific and Industrial Research (CSIR), Pretoria, South Africa"
235,4, Morreale M.," Morreale, M., Facoltà di Ingegneria e Architettura, Università “Kore” di Enna, Cittadella Universitaria, Enna, 94100, Italy"
236,4, Mohanty S.," Mohanty, S., Laboratory for Advanced Research in Polymeric Materials (LARPM), Central Institute of Plastics Engineering and Technology (CIPET), Patia, Bhubaneswar, Orissa 751024, India"
237,4, Mistriotis A.," Mistriotis, A., Department of Natural Resources & Agricultural Engineering, Agricultural University of Athens, Athens, 11855, Greece"
238,4, Mezzanotte V.," Mezzanotte, V., Università degli Studi di Milano Bicocca, Dipartimento di Scienze dell'Ambiente e del Territorio, Piazza della Scienza 1, 20126 Milano, Italy"
239,4, Meng Y.Z.," Meng, Y.Z., State Key Laboratory of Optoelectronic Materials and Technologies, Institute of Optoelectronic and Functional Composite Materials, Sun Yat-Sen University, Guangzhou 510275, China"
240,4, Mencarelli M.," Mencarelli, M., Department of Agricultural Sciences, University of Bologna, Bologna, 40127, Italy"
241,4, Meistertzheim A.-L.," Meistertzheim, A.-L., SAS Plastic@Sea, Observatoire Océanologique de Banyuls, Banyuls-sur-Mer, France"
242,4, McNeill K.," McNeill, K., Institute of Biogeochemistry and Pollutant Dynamics, ETH Zurich, Zurich, 8092, Switzerland"
243,4, Masuda T.," Masuda, T., National Institute of Advanced Industrial Science and Technology (AIST), 1-1-1 Higashi, Tsukuba, Ibaraki 305-8565, Japan"
244,4, Martínez Urreaga J.," Martínez Urreaga, J., Departamento de Ingeniería Química Industrial y del Medio Ambiente, E.T.S.I. Industriales, Universidad Politécnica de Madrid, José Gutiérrez Abascal 2, Madrid, 28006, Spain, Grupo de Investigación ‘‘Polímeros: Caracterización y Aplicaciones (POLCA)’’ (Unidad Asociada ICTP‑CSIC), E.T.S.I. Industriales, Universidad Politécnica de Madrid, José Gutiérrez Abascal 2, Madrid, 28006, Spain"
245,4, Marconcini J.M.," Marconcini, J.M., Nanotechnology National Laboratory for Agriculture (LNNA), Embrapa Instrumentation, PO Box 741, São Carlos, SP, Brazil"
246,4, Maine M.A.," Maine, M.A., Química Analítica, Instituto de Química Aplicada del Litoral (IQAL), Facultad de Ingeniería Química, Universidad Nacional del Litoral (UNL)-Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Santiago del Estero 2829, Santa Fe, 3000, Argentina"
247,4, Lu X.," Lu, X., Materials Science Institute, PCFM Lab., Zhongshan University, Guangzhou 510275, China, Department of Polymers, School of Materials Science and Engineering, South China University of Technology, Guangzhou 510641, China"
248,4, Liu Z.," Liu, Z., State Key Laboratory of Food Science and Technology, Jiangnan University, 1800 Lihu Avenue, Wuxi, 214122, China, School of Biotechnology and Key Laboratory of Industrial Biotechnology Ministry of Education, Jiangnan University, 1800 Lihu Avenue, Wuxi, 214122, China, International Joint Laboratory on Food Safety, Jiangnan University, 1800 Lihu Avenue, Wuxi, 214122, China"
249,4, Leejarkpai T.," Leejarkpai, T., National Metal and Materials Technology Center, National Science and Technology Development Agency, Thailand Science Park, Pathum Thani, 12120, Thailand"
250,4, Lebrero R.," Lebrero, R., Department of Chemical Engineering and Environmental Technology, School of Industrial Engineering, University of Valladolid, Dr. Mergelina, s/n, Valladolid, 47011, Spain, Institute of Sustainable Processes, Dr. Mergelina s/n, Valladolid, 47011, Spain"
251,4, Leask R.L.," Leask, R.L., Department of Chemical Engineering, McGill University, 3610 University Street, Montréal, QC  H3A 0C5, Canada"
252,4, Laforsch C.," Laforsch, C., Animal Ecology I & BayCEER, University of Bayreuth, Bayreuth, Germany"
253,4, Kržan A.," Kržan, A., National Institute of Chemistry, Department for Polymer Chemistry and Technology, Hajdrihova 19, Ljubljana, 1000, Slovenia"
254,4, Krausz P.," Krausz, P., Faculté des Sciences, Université de Limoges, Laboratoire de Chimie des Substances Naturelles, 123 Avenue Albert Thomas, 87060 Limoges, France"
255,4, Krajangsang S.," Krajangsang, S., Microbiology Department, Faculty of Science, Srinakharinwirot University, Bangkok, Thailand"
256,4, Kowalczuk M.," Kowalczuk, M., Centre of Polymer and Carbon Materials, Polish Academy of Sciences, Zabrze, Poland"
257,4, Kolvenbach B.," Kolvenbach, B., Institute for Ecopreneurship, School of Life Sciences, FHNW, Switzerland"
